sentiment,tweet
negative,Working.  I can`t wait till 4:30. Funeral on monday.
negative,i may cry **** this weather got my **** burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha
negative,The city officially smells like dead fish
negative, Don`t count on it
neutral, thats another sponsor
positive, i wish you were in my class last year
neutral," this has been like the never ending story....all I seem to be doing is packing and now unpacking!!! Soon over, great here"
neutral,Wheres my phone ?!
neutral,_Pearson
neutral, haha...it the booomb
neutral," I`ll be right over, save me a slice"
positive,"now it`s weekend! It`s so great!  I saw the rest of Twilight tonight, and i also have read fininsh  Break for know.. Could I do that?"
positive, make sure you practice your hooping today!
positive,I sure do hope it becomes 4:20 this afternoon ...
negative,Bought new racquet for $145... wish this racquet will do the  half and God the rest .well despite recession things are fkin costly
neutral, You are right.  If you ordered a static IP it should have been set up.  I apologize if it was not
neutral,"Family is here,hanging with them"
negative, I can`t be mean without you.
positive, jip i have a good one
neutral," talk to their creators yesterday no date for public release, just developers"
positive," i miss you too; i need to talk to you, i keep screwing up ..  lovee u !"
positive,that was reallly good
negative,About to go to my last theater lunch  im gonna cry.
positive," Thanks for all of the awesome tweets LeeLoo, glad you enjoyed the weekend."
positive," In case no one gave you a heads up, AT&T just put out an iPhone app for account management (MyWireless) I`d love to see a review"
neutral,"I painted my nails metallic blue but Iï¿½m really sure about how it looks, itï¿½s a pretty weird color!! I think itï¿½s cool"
positive," Thanks!!!!  Like I said on facebook, you just made me awesomely happy.  Thanks."
negative,working on diffusing that irritation but this traffic sure isn`t helping  mother F! it`s always real bad the days th@ i help plan stuff
positive, what a great project!!! Wish I could have done that with DD1. She`s too old now.
negative,About to leave the fights. I`m tired and my voice hurts.
positive,"We just crossed into the golden state, its nice being home"
positive,"_n_DC amendment 4.5: the right to be big pimpin? Because gotta say, a positive right at best. Man, 2nd time tonight w/ this thrd"
positive, cool. looking forward. san francisco was really nice. didn`t make it out to napa though  maybe next time.
positive,researching ecologically friendly carrier bags... its not cheap to be eco friendly
positive, shweeeeet!
positive, aww lovely pic
positive,philosophy final today! thank you  it`s 3 days now!!!!
positive,Moms everywhere stop what you are doing and get a good night sleep for tomorrow its your childrens turn to pamper you.  enjoy your day
positive,made breakfast today......Happy mother`s day ..
positive," i dont even have a WII! b likes xbox, so that`s what we have  do you use it?"
negative, mother is hogging the TV
positive," No! I would like this! Yesterday, I talked with Alyso Stoner xD And Benton sent me a private messae and coment me here!"
positive,Sushi joint was closed  but still had a nice lunch w/ Angel!
negative," i chewed up a Starbucks and a Subway gift card at Christmas time, I got in big trouble. I not allowed near purse."
positive," Masson I`ll give you the link, it`s quite handy"
negative,_WOCKEEZ  Don`t wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...
negative,I think I may cry. I just sold my 97 civic. Its no longer mine.
neutral, I know how you feel.  Takes far too much time out of my life!
neutral," Kinda the same here, maybe just a **** good coffee? Same dilemma, tho."
positive, when we were poor and lived in Germany it was our favourite cheap Saturday. Now we have one 20min away.
negative,in class sick and hungry
positive,but omg mummy bought me ice-cream!
positive,Happy Mother`s Day to all the mamas out there
positive,  Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother`s Day gift.
positive,Happy Mothers Day to Heidi Klum
positive,"Scary lightning and thunder  I`m glad it`s over now. Going to sleep, I hope I`m not late to school tomorow again. Haha"
negative, ugh! **** it. Today doesn`t look like it`s going to work  i`m sorry
neutral, Sure thing!
negative,Sometimes I could swear I really am insane.
positive,"i like how, no matter how much fun i`m having, i need a hug, a bowl of ramen, and a comfy blanket as soon as i get home."
negative," Oh, you poor thing!!    So sorry, babe...."
positive, Aw how come ur up so early? love ur youtube vids btw
negative,is really sad about her nephew  but keeping busy sorting out items for BWM! http://bit.ly/N9tsM
negative,"So, I`m at the point now that it has become apparent that having a degree means jack ****."
positive,"I`m at work, hoping to enjoy the day!!  Fingers are crossed!!"
positive, read your status update & just wanted 2 b sure I was on your follow list  Hope u r having a wondefl wkend Michael~blessings
neutral,Waiting in line for the Beast with Matthew.    I won`t be riding.
neutral," Hmmm, should have looked at it a little more methinks"
negative, I would but I`m afraid I got two left feet
positive,Whoooooo! Spcn 2009!  ready to cheer for !
negative,someone has hacked into my emails!! **** off!!
neutral, wow.???? ??????
neutral," FML dad didnt leave me any moneyz, so i have 2 wait till he gets home   call me when you finish work?"
neutral,  lol yep sure do... although I must get out the house today !!!
positive,Its finally nice out... An hour before we leave
positive, wow! that is an *awesome* review; carry it with you everywhere; laminate it; read it when down;just plain cool
negative, yummmm make sure u leave some 4 me im home cleaning up working mad hard
negative, i know so lame
positive, boooo!!! I bet it was a nice wallet too
negative," still no class loaders, or even custom assembly loaders"
positive,"hi everyone, hoping all of you have a good week"
positive, Exactly. She becomes completely incapable of anything unless he`s there helping her. Too many of those are out there.
negative,just woke up...dont want to go into work at 4
neutral," oh thas cool  you know, I only kinda knew bouts you cuz of Ericson haha when you guys were together x)"
positive, lmao back in queens now
positive, Happy Mothers Day! i hope tom got you something special! enjoy day!  xo
neutral,you can`t please everybody.  http://plurk.com/p/x32rz
positive, i love to read ur little quotes
negative,I miss vlogcandy
positive,  I appreciate you
neutral, Your schmoo is moving? Are you sad?
neutral,currently watching American Idol
positive,i suppose i best get ready for work  grrr
negative,Omg i`m going to robinson with tyler wfm. And i freakin miss anthony  ugh today kinda sucks. Lex<3
negative,"just woke up, its laura`s last full day here  Last night we watched embarrassing home movies"
positive,is maxin and relaxin... ahhh
neutral,.  Will have to try.  Our Pei Wei closed so I can`t try there.
negative," omg!!!! I feel bad,  .Was it good?              ;"
neutral,I can safely say I won`t be a euro winner this week!!
negative,I really miss my phone  i cant wait till my new one comes
neutral, hahha I don`t do drugs though
neutral,"Why do i never get to see my paychecks? It`s not fair, the second i get them they`re gone!"
positive,just downed 10 live abalone sashimi with 2 bottles of sake with father-in-law.  Very happy
positive," I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good."
negative,"four shots of novacaine in my mouth  my right cheek is totally numb, booo."
positive,  you better come back soon! <3
negative, You still have class? Ouch
neutral, what if we are in England?  x
positive," if you meant to heavy rain n flood in bkk last night, lucky I was out of bkk"
neutral," man, 4 months until we get to see what those drunk tweets were all about"
neutral,"no , I can`t make it to the tour. I`m from Philippines"
neutral,yard house too packed. Three people deep at bar.... went to pf changs....got right in
positive,Just had a lovely walk with my dog ( all on my own! )...In the dark  But it was a nice walk though HEHE x.
negative,_lawrence did you forget something this morning? you nearly ran me over at the bottom of the hill!  its very very warm in the shop! x
neutral, This year
negative,  sadness. you could hang out with me and feel less apathetic.
negative, - NOT A HEAP HEY. JUST BOUT TU HIT THE SACK. ITS 1.15AM HERE. I NEED SOMEONE TU CUDDLE. SUCKS  WBU.? X
negative,  Yeah the spammers are discriminating: none of the females  are part of the target group apparently
neutral,what do u do when ur dads losing it mentaly and dosent remeber you
neutral, looks like  is hiding money in an offshore bank account on behalf of last.fm   http://bit.ly/CeT0s
negative,I miss the old healthy me and I am loosing faith that I ever will be again
negative,Grr...Fatboy Slim is out of the EDC Lineup.
negative,My throat is killing me
negative,i think june gloom has arrived
negative,Work till 6..then dreadful tv shopping cause mine broke
positive, ME TOO! please come online *-* hope you`ve had an amazing weekend
positive,_x3 you are too sweet girl!! My food was soooo good
negative, wow... you`re doing this all through text?  I would get tired after a while
negative,"imissu, come back home now honey"
negative,I`m trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can`t find it anywhere! anyone have any links?
negative,I have started to fear weekends since joining German classes
positive," Yes, people skills and social manners are quite nice.  If you a few billion, guess you need MORE love to gently guide you."
positive, Since you travel quite often and use online travel sites we would love some feedback on iXiGO.com from you
neutral,It takes nearly 2 days to figure out what causes the mic problems at #euruko: Do not hold the mic at the bottom!
positive, Happy Mother`s Day!  Hugs~
negative, when you haven`t had one in over a week! that was a really mean joke he just played on me!
positive, OMG! It`s the famous Amanda woman person thingy!  HUGS ALL AROUND!
negative,", i missed everyone tonight"
negative,feeling like I`m gonna fall asleep any time now but I can`t.
neutral,you know what`s today? no? it`s the Star Wars day you ****!
positive,It`s Midnight - I`m outta here.  HAPPY MOTHER`S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!
neutral, um Mr. Deadly Sir . Can You Please Follow Me On twitter .
positive," awesome, I`m looking at sourcing some as well."
positive, Looking forward to following your journey on this endeavor - just subscribed to your blog
positive, thanks alot. Hope you can help spread the word and get people involved. We are already making a real difference
positive, I must agree I do like blackberries!
positive, Good Morning! It`s been a while since I`ve 'talked' to you   - Keep up the awesome tweets.
neutral," Yay! At least I`ll get to see you next year! I`m sad, too."
negative, AWWWW  we`re gonna miss you!
neutral,changed my h/p number go online msn messenger to see
negative,kinda has a headache...
neutral,and now! ITS #starwarsday!!!! To celebrate i should watch some star wars  - Richard
neutral,its getting really windy out there
negative,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...
positive,It`s sunny and I feel really well today!  Yippeee!
negative,"Im so done with this cold. I really wanna go out tonight, but i really dont feel like it."
positive, did you not think of texting me that!? I`ve just read it now lol! Figured out the html on my own.
negative,What a dreary day in LA. Where did all our sunshine go?
positive,     I LOVE YOU GUYS! get your **** to australia in december for my birthday
negative, Floor mopping sounds unappealing
negative,"  We don`t feel too comfortable using it. It`s not awful, but pretty icky.  Scurrying to find a deal..."
negative, so the beneath show got cancelled BUMMER! i guess i wont see you til cornerstone  who are you goign with?
negative,Deathstar destroys Starship Enterprice http://bit.ly/2agcTh Can`t get enough of this video  #starwars #startrek
positive,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour
neutral,4 cases of swine flu!
positive,is helping  making a twitter account
positive, Wahey! Fancy meeting you here  Thanks for the tweet and great to be twittered together
negative, i didnt get the msg!! :`( but i bought princess
negative,I miss Cary and want to drink some chocolate milk with him.
negative," ok sweet! and whenever u want, I am stuck in bed all weekend"
positive,ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2
negative,"Google going down means DoubleClick goes down too, means I can`t get any work done."
positive,: I like your crazy and witty humor!
positive,Why do you hurt me? Does it bring you joy to see me cry? You know I love you more then anything and yet u break my heart everyday!
negative,I`ve had a sore throat since monday morning ...I`m just sick of it hurtin and I want some freakin sleep!
neutral, Joe just put a new bulb in my spotlight
positive,Had a nice dinner with mom! I`ve started the chicken rolls. They are going to cook overnight. The rest I`ll do tomorrow.
negative, Missed you last night hon
positive,decided that wolf in a future Star Trek Logo game would be much cooler than Chewy in Star Wars
negative,  no water park today? made me jealous looking at that pic
negative,"ohhhh, how sad...I didnï¿½t get it!"
negative,Work soon. Lame going to miss the   Go Lakers! Hope you win!!!!
positive,  I`m only telling the truth..... You know you have skills
neutral,  i can`t call you im from Mexico and i don`t know the code
negative,feeling really dizzy  not soo good
positive,"_Morris Congratulations! what a milestone for you and your girls! I`m almost at five months, just for one though  You rock!"
neutral, where are you going tonight?!
neutral, i agree.
positive, That wouldn`t have happened if Ravit hadn`t asked me. I met her thru a Twitter friend in CT. Love social media that way.
negative,#jonaswebcast i just missed it!!!!
positive,_jg hahaha i don`t owe you anything; now you owe me a red LOL te amo idiot hahaha te veo ahasta el lunes
positive, - I know! It was drizzling all the way to work!  Hope it warms up this weekend....
positive," thanks babe. I guess I will find the right person one day, til then I`m better off alone"
positive, Not a prob hun
negative," I bet its cool down in SR, huh? It`s not here. I haven`t stopped sweating since noon when dad and I were packing"
positive, yea it is.  thanks for the link.
negative,"i misss my phone,"
negative,Sending angry vibes to the individual in a blue vehicle who hit my car in the QFC parking lot on Broad and failed to leave a note
neutral," yeah, I also had to do a paper.. I only have one more final left: algebra.. & I take it on my birthday!!   (june 3)"
negative,"Worried about Bry, he has bronchitis and a sinus infection   Poor baby."
negative, tell him ill beat him up if he doesnt share
positive," No, nothing so important. I just like it to look like that. It`s an old hairstype actually"
positive, i wish you were playing at MY prom
positive,flashlight tag!  i love playing games in the dark.
neutral,I am currently doing a few posts on my business blog http://venturefile.com  check it out if you like it
negative,**** my life.
positive,_ai_08  Yeah hopefully but if not then maybe  i can save up and get it for christmas .. we will find out
negative,"Is feeling sick, probably a summer flu"
positive, Hey Man Congratulations On The Graduation Man You`r World Wide Popular In Philippines
neutral, yeah! i love this one and doesn`t really matter
negative, hi I`m ok   still not feeling great
negative,*sigh* Off 2 bed 2 try 2 get these crummy 2 hrs of sleep b4 my horrid 12 hour day..smh. Niterzzz evry1. Don`t let the twitterbugz bite..
neutral, go with firefox
negative,"I`m going through withdrawls,  missing someone!!!!"
neutral,"Once again another late night.  But I scored a mojito, so ..."
positive,woke up from napping  finally got the sleep i needed
neutral, hey you!
negative,Nursing sore back today
negative, Same! And big moths and wasps and just insects in general HAHA I hate them
negative,weebo is dying
positive,"_21Thanks, I`ll keep working on her    lol good idea!"
negative,At hospital.. Uncle is in surgury after heart attack
neutral,Cats: unimpressed by thunderstorm. Dog: wishes  would come home
neutral,awake and ready to learn a little more
neutral, lannen fall?    we have a new EP coming out shortly.  I want you dudes to hear it!
neutral,Job???????   Not so much.
negative," Im not getting any treatments, we are just gonna hang out at the pool and the hot tubs."
neutral, that sucks.  But woot for Misha.
positive, ~Congratulations Daddy
positive," how fun!! I like the beach, but I tend to get really dark fast."
negative,not ideal bank holiday conditions.. a little over cast and rainy but perfect for a lazy day with a dvd
positive,_com Thanks
neutral, showed my fluid decreasing slightly so doesnt look like Im getting out of this bed anytime soon  Ive got a follow up U/S next week
positive,_nyc hey sweetie. Cnt go fri  but thnks so much
neutral, 'Thank god you didn`t go **** until after you had me...'
neutral, Could`ve said hi. We`re off down south tho
negative, i tried listenin to music 4 half an hour! Tried readin a really boring book-still wide awake!
negative,doesn`t wanna get dressed up and be an adult today.
neutral,Wearing my new Victoria`s Secret slippers
positive,"So, I picked up Chris Botti`s~Live in Boston CD, listening while driving home tonight under the moon. Didn`t want it to end."
negative, ~ Sorry the response to my assistant job has already been filled. Please check back soon.  I`m sure she will not last long.
neutral,"i want my WOOSOO like now plz  i gant wait, knowing she`s so close is driveing me NUTTS"
negative,Now have an unpleasant talk w/n-laws 2 look 4ward 2....
positive, lol... i`ve been in Bk for over a year... going on 2 and u haven`t come yet!!!
neutral,_lipz I don`t know  I haven`t heard from Lorraine recently.
neutral, officially MOSS doesnt work on Vista  but unofficially its fine
negative,_newman i just called and it`s sold out.  bummer. next time!
negative," CVS is that like a genetic brand?Poor you,my hubby gets bad allergies..no fun!"
neutral," yeah i`m not shy doing everything that i can and still nothing  http://blackird72.etsy.com check out my sale, no bites yet"
negative,sleeping in was interupted by JACK-HAMMERS at 9am ****! Universe says GET UP! But I was up intil 3am `cause I thougth I`d be sleeping in
negative,today is going to be AH. Giving notice to my boss today. She is going to be upset  I`m totally stressed.
positive,My lovely husband made me breakfast in bed this morning. Who says chivalry is dead?
positive,_ Awww. So that`s him. Nice attempt at hiding from the camera
neutral,"http://twitpic.com/4j8yk - Thelma, Rebeca, Fernanda Symonds, Fernanda Cordova"
negative,oh my gosh!!! hollyoaks was so sad tonite
positive, LOL!  Too true
neutral, OK  Just a thought that occured to me...
neutral,Why do people have 2 be so deceitful and unreal?  But my love for Steve Jones and Channing Tatum has been renewed lol...their soo nice
positive,sleep sounds good right about now
positive, http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon
negative,FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot
neutral,"Has roughly cleaned his room, and now is heading to Pablos to read"
neutral, http://twitpic.com/66st1 - please let me freee... I can`t watch you **** for much loongerrr!
positive, most likelyy. Just need to save the money and practice my **** off.
neutral,Taking the day off and doing absolutely nothing    Studying begins on the morrow
positive, see u bye see u!  i love the hot30
neutral,And this is what happens when Swine Flu gets to all of us.  http://tinyurl.com/55hq2o
negative," No, but I missed you"
positive,Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765
positive,Chillin` following some cool people!
neutral,nothing
neutral,#twpp ..still nw in trending topics..
neutral,MY CAR IS ALMOST DEFINATELY GOING TO BE WRITTEN OFF! THE GARAGE RANG AND SAID THE WORK WILL COST 3K AND ITS UP TO THE INSURANCE CO
neutral, Keep trying...taking texts all week long...
neutral,Anyone to recommend me JP artists with music similar to Soichi Negishi`s Amai Koibito?
positive,happy mother`s to all the moms out there..
negative, He`s my boxing trainer. Although I think the bruise came from me hitting myself on something. Ow
positive, I love sausage too  #kitchenfire
positive,"OK, It`s my 1000th Tweet  I`ll use it to simply say 'Thank You!!'. I`ve met some of the most giving/caring people on Twitter!"
positive,All new implementation of test discovery for unittest. This time in a loader. Good start I think.   http://twurl.nl/nz8f4y
positive,Hey there! It`s a glorious morning! Monday`s animation mode: ON!
positive,"too much good food on this Mother`s Day. not that i`m complaining! Seafood, durian puffs and macarons! yum!"
negative, Kisses! or its screwed. i`ll be a raggy old cat woman ha i`m pretty sure of it
negative,Cleaning the House! Im so boring..
neutral, it does but that game doesn`t.
positive, pleeeeeease pleeeease make me a dj drop
neutral," Ironically, that thought goes through my head (no pun intended) for *every* headache I have...  Hope it goes away soon."
negative,got woken up early AGAIN  I kinda wana just chill today but there`s so much to do!
positive,"_ kk`s  have fun eating lol, remember shaun loves you haha"
neutral, - I used to have NKOTB sleeping bag too!!  I don`t know where it is now
positive, heyyy you ALWAYS look nice  wanna come to my friend`s party? its june 8th long weekend in sydney
positive,"Off.  Have a good star wars day, fonz day, dancing taco day, whatever you celebrate, it`s all good!"
negative,off to work... off at 10:30....lammmeeee
positive,_chiel Well...I would love to have a Zoo! ;P Dont think I can be there sunday.  But sometime I will !I want to!
negative,twitter is acting weird
positive," great thanks hun, i did thr family thing this wknd too! 5 weeks today we hit the USA, cant wait!!"
negative,Creased my nikes!!  ohh well... http://twitpic.com/66zfd
negative," pheasant dreams, kaotic ones"
positive,Wishing all Mothers Happy Mother`s Day
negative,"@_katieedwards I can`t yet back, I`ve run out of texts!  I`ll ring you laters xoxo"
positive, wow that was easy! Thank you
positive,hoping it will rain again because it`s sooo warm
positive, haha.. good for you
negative, I don`t think  will want to come back  (guys read your dms)
neutral,Hey guys I`m going to create an iPhone app that`s a twitter client called Tweetilicious please  me your thoughts!
neutral,  yes really if it is that time of day again.   xxxxxxxxxxxxxxxxx
negative,last night sucked... too many bad dreams about spiders and rogue octupi
negative, I am lost. Please help me find a good home.
neutral," Depends where your drinking, what your drinking, and how many mates you have. Joke fails"
positive, ISP all sorted i gather?! cheers for the bday wish too
negative, oh but that girl  but AIDAN!
negative, no...i`m just tired..
negative,: I knowww yur mother is being a **** and she doesn`t want to take me to the movies  ****
neutral, i guesss
negative, Bummer yo.  I`m starting up finals too soon...so I guess I`ll see you around the second week of June then.
neutral,time for work
neutral,I am having the TIME of my LIFE
neutral,Just finished my 1st new song !!!  Soon on Youtube !  Keeping you updated !
neutral,Done at the spa   now meeting vic for some late lunch!
positive," why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan"
neutral, is it seven yet?
negative, Me too I need the sudden urge to do it. Missing the Diplomat title
positive, EPIC moment! hahahha i swear.. i really wanna see it
positive,"Glad I went out, glad I didn`t leave early, and glad to be afterpartying it up @ Beth`s  I`m back!"
negative,I buy the team Zotz and they decide to roast me.
positive, the next wk I C Drs too but maybe then? I would love it! I did go to Mac Grill.  John was not there! Thought of U!
negative,Going to the Chiro to see what is wrong with my bum ankle.
positive," Feeling inspired this evening, huh?"
negative," It`s sunny and hot in London today, while I sit in office cranking spreadsheets"
positive, Today was fun  <333
neutral,at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2
negative,VERY upset....  Mom is in the hospital
neutral,At the pub with the dog but seems to have misplaced friend with drinks
positive, You may be PC but I love you anyway!!!  Maybe someday you too will become Mac!
positive," Hope you get better. I know you will have the best medical attention. if not let me know, I will be right over"
negative,Evermore & End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later
positive,"About to pik out my hair, braid it up, scrub off my make up and relaxxxx.... tonight was fun"
negative,_b BF @ gig in Portland OR.  That`s not driving distance to come save me from Burbank. I stuck ATM.  Working on plan B
negative,"TWITTER WILL NOT UPLOAD MY ICON PICTURE  it hates me. Eff this, i`ll upload it later"
negative,At my rehearsal...gonna miss the game  please keep me updated! Go Nuggets!
neutral, maybe tonights the night to pick it up again?
negative,It is 00:03 I`m Wrecked  I`M Hungry & I have to get up early. Not the perfect Fri night LOL night
positive,Currently working on a collab with Alynn Carter called Lost Inside which I`m very excited about
negative,In bed after a good last saturday in ec. I`m gonna miss this place but can`t wait til summer
neutral,Still up playin rock band woot woot
positive, sounds nice   have you downloaded twitterena 2.0 lol ?
negative,chris sab and i = COMME ESTAS ****
neutral,I`m still here! I just changed my avatar
negative,"Heyy, Im Not feeling so good cuz of wat happened yesterday in the car accdentt."
negative,Is feeling like he has a bad flu. Yes. Bad. Flu.
negative,I try soo hard toget what I want.. & I always end up having a goose egg..
negative, they frown on us googling alcohol at work
positive, Lol! Joyologist? Love it - much better than the happy freak who can`t stop smiling  Enjoy Monday!
neutral, i havent seen you all week
neutral,start work 2 moro at 6:30.  not looking forward to it
positive, Sounds like a nice relaxing afternoon. I have to mow the lawn and walk the dog
neutral, That is messed up. I hope your day gets better.
positive," Link won`t open, but I will try it when i have a better connection tomorrow. I`m curious now"
negative,sometimes i forget my favorite **** stars are real people too.  made orange chicken last night and cut his finger off! sad!
negative, So sad that schools have to close.
positive,"Chillin with the rents, and looking at hilarious old photos. Well funny!"
neutral,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?
negative,life is so boring without you
neutral,"Har Har, #swineflu is everywhere: http://twitpic.com/4jb4o  (via )"
neutral,just got outta work.  ....... Frankie`s house.
neutral,"Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day"
neutral,time for bed up in 6 hours
negative,Drinking and smoking is very bad.---but im grown tho
negative,Nothing like In `n` Out and a LOST marathon after a long day of work.
positive, I love Broughty Ferry
positive," Hi Nic, i was so excited to heard that PCD will perform in Jakarta. I hope u will visit my town, Bali as well. Love Ya !"
positive,"GoodMorning, Hope Everyone Has A Beautiful Day Today  x"
neutral,Waiting on laundry to finish so I can go HOME. Think I`ll do my nails while I wait
negative, lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!
positive, ur welcome...anytime
negative,"Getting used to getting up in the cold, but my asthma is paying for it."
positive,Loves Agustin and his happy morning moods
neutral,needs to escape from this town. getting ready. seeyuhhh.
negative," It saddens me, you`re youtube has changed. It`s just like every other youtube kid, you used to be different"
positive," either way, you always tend to make my #followfriday list, sweetie - you do rock that much"
positive,"@_chloe yes! it`s on youtube  its from may 7th, and it made me feel 100x better. it`s halarious."
neutral,_a_hart ah.. Birmingham! I remember being there in the Wrox days
negative,"oy, im such a nerd..im writin 2 no1 cuz no1 is followin me  i mean lik sum1 was but their account was deleted due to 'strange activities'"
positive,happy mother`s dayy!!! to me andd the rest of the fabulous mommy`s out there
positive, i already got my tickets to your concert here in the philippines! im so excited!
positive,Just woke up :o mums singing to her new gn`r cd replacement i bought because im a good daughter
negative,FML still awake  melatonin not working!
neutral, Parvo sucks. So sorry pup has it.  I lost a puppy to parvo many moons back. Still sad over it. Hope he`s better soon
positive," I have the best bestfriend in the whole world .. My Mother`s Day present = ambien, klonopin and a quarter! woohoo!  smh..."
neutral,Is waiting for sumone to come online
negative,- God i`m up early. Hayley still asleep but today is party day so i`m getting stuff ready.  x
neutral, aw ****. ok i got you for tuesday on that. i gotta write a short post for today tho
positive,Feeling good about our win! Its nice being softball champs  bring on the season!
neutral,Squashed Foot  ****
negative," I`ve totally been MIA, i know  bad me"
negative,bored well its not like any one can see this i havent got any friends
negative, oo noo thats not good
negative,"rcb trashes mumbai indians....  i feel bad for mumbai indians, they just didn`t know what hit him..."
positive,unpacking my new toy arrived in the studio right now  it`s called TC Finalizer. can`t wait to check how it sounds !!!
neutral,Zac Brown is in Virginia Beach and I`ll be in NoVA
neutral,"Going to my brother`s wedding in Princeton, NJ next Sat. Had to buy a navy blue sports coat and gray pants - $13 total at Goodwill"
neutral,"My debit card is going the same way as my credit card, it`s snapping"
negative,have been to portugal. and spain. and has a sore throat. scary?
neutral," We went not so long ago. I used to go when I was a little kid. Back then there were TONS of teeth. Now, not so many at all!"
neutral,Sorry if I`m confusing anyone. I keep forgetting to . The desktop Twitterific  is not so terrific  Very different from iPhone app.
neutral,"not sure if I can use my Neko tix for Sunday night.  may be offering them to someone else, you`ll all be the first to know if interested"
negative, There`s loads of highly qualified stuff  and loads STILL using snail mail.
negative, I have tried. He doesn`t want to listen. I don`t know what to do anymore. I just feel like HE doesn`t care anymore
negative,"  it`s an app to finally face the truth: you lack time, and never be able to achieve all your goals in life?"
positive,_au my pleasure... hey it was played at my going away from nz party back in 87 lots   so it is burned into my brain
neutral," LOL! Yeah, well, same applies to the grocery store."
neutral,playing the game of watching straight people hook up but can`t leave because of another reason
positive,Going to the alley tonite..Happy Birthday prima
positive, you the the Queen of Sass oh Scenie!!!
positive,gonna knit a felted heart toy for mum for Mothers Day. she`s so great (not really) she loves anything i give her  luv ya mummy
neutral,My trip to Igbaras will be postponed to next week
positive, CONGRATULATIONS on the test!
positive,_uts bass love
negative,"im getting really spotty and my spots ALWAYS scar... and NO its not because i pick them, even if i dont,they scar- FACT  my skin sucks"
positive,"finally friday , but still grounded till next thursday    -- stereos = life <333"
positive,"Had a neat mothers day - nothing flash, just some chillin time with my girls"
neutral," hahahah yeah, you`re right! Plus I`m Twitteraddict so, You`ll find me here all (well almost) day most likely"
positive,Good Morning!!! Work and then it`s ESPN`s Sunday night Baseball. hopefully it won`t get rained out
negative, that sucks.
negative,Hiiiiii! I texted u the other day and u didn`t respond  what`s up with that?!
positive,"Just came back (well yesterday) from the Hannah M. movie, I LOVED IT! I went to the highest part of the cinema to dance! BEAUTIFUL SONGS"
neutral," Awww, here...WAZ UUUUP!!!   Seriously, glad y`all had fun.  Too bad my invite got lost in the mail lol. peace. xo"
negative,"It`s patio weather in Kirkland!  It`s also launch-yer-boat weather, except I`m missing the boat part"
neutral,playing board games!!!
neutral,Working on a PR plan. Then it is on to awards.
positive, thanks Daxx you too!  God Bless you brother!
negative,I feel lazy watching other people work on my roof!  Kat Woman OUT
positive, thank you. We had a blast
positive,what fun!  I got retweeted by a bot
neutral,lol if i only can sTay up a few more hours.. i keep missing Tila`s lasT posTs ..
positive, Nice! What r ur plans for 2day? Oh n Happy Mothers Day if u happen 2 b a mother
negative,_RedBone stop that babe u makin me feel very bad now! :/
negative,Bummed that F! F! F! broke up
positive,Download movie  'Still Waiting...' http://tinyurl.com/d9g8sj cool #movie
neutral,More to thank for #ff shouts     and heaps more. Sry will be here all night i now realise
negative,i feel like I`m on house arrest.
negative,**** i`m gonna miss the grand prix.I`m going to have to try and sneak back to the room
neutral," see most people didn`t like deadpool cause it wasn`t true to the comics, I`m guessing you like Ryan Reynolds"
neutral,going to the lumberjack party
negative,The reason why I can`t find the latest Arena magazine is because it has folded due to the recession. Grrrrr. GQ/FHM survive? No justice.
neutral,http://twitpic.com/4jkes -   Here`s your follower count.
negative," why would u get in trouble with me, i did not follow the logic sorry"
positive, peace & quiet.  Enjoy it while it lasts!
positive," I love old school horror movies more, I got Elvira tattooed on my back"
negative,I hate watchn things that make me sad n wana cry
negative,"so bored, i have a headache."
negative, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!
negative,_nk Wouldn`t call that cool or dangerous. Reckon it fits into the stupid category
neutral,"Room is clean, now it`s time for breakfast"
negative,"I need a nap, but I won`t be getting one"
neutral, bet sexy; i added u on myspace!
